
Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
astarH1, 15, 11, 8, 144, 0.32380032539367676,0,,6 3 7 1 4 0 5 2
astarH1, 16, 14, 14, 1135, 14.670689582824707,0,,3 7 4 1 0 2 6 5
astarH1, 17, 9, 7, 48, 0.039305686950683594,0,,5 3 6 0 2 1 4 7
astarH1, 18, 14, 13, 1020, 12.627444744110107,0,,4 1 0 6 7 2 3 5
astarH1, 19, 15, 9, 1363, 20.66492462158203,0,,7 5 3 0 2 6 4 1
astarH1, 20, 10, 6, 62, 0.061522722244262695,0,,5 2 3 0 6 1 7 4
astarH1, 21, 12, 11, 373, 1.675156593322754,0,,0 5 3 1 2 7 6 4
astarH1, 22, 8, 8, 12, 0.004985332489013672,0,,3 5 7 2 1 4 0 6
astarH1, 23, 11, 9, 172, 0.43063807487487793,0,,5 3 7 1 2 6 0 4
astarH1, 24, 14, 12, 1020, 11.616472721099854,0,,5 2 0 6 4 3 7 1
astarH1, 25, 15, 13, 2030, 42.70212936401367,0,,0 2 6 5 1 3 7 4
astarH1, 26, 16, 12, 1436, 21.196452856063843,0,,6 4 5 3 0 7 2 1
astarH1, 27, 0, 0, 2411, 60.00397872924805,1,,7 1 4 2 6 5 0 3
astarH1, 28, 11, 11, 202, 0.5450887680053711,0,,1 4 5 3 6 2 7 0
astarH1, 29, 13, 13, 550, 3.5072107315063477,0,,4 5 3 2 6 1 7 0
astarH1, 30, 14, 14, 1251, 16.466988563537598,0,,7 6 3 0 1 2 4 5
astarH1, 31, 12, 12, 302, 1.146496057510376,0,,1 0 5 6 7 2 3 4
astarH1, 32, 12, 9, 244, 0.8204555511474609,0,,5 6 0 2 3 1 7 4
astarH1, 33, 13, 11, 616, 4.586995601654053,0,,1 6 5 7 0 4 3 2
astarH1, 34, 13, 12, 246, 0.7360897064208984,0,,5 3 1 7 6 0 2 4
astarH1, 35, 11, 10, 98, 0.14390158653259277,0,,6 1 3 4 0 5 2 7
astarH1, 36, 13, 9, 228, 0.6377284526824951,0,,0 4 5 7 6 3 1 2
astarH1, 37, 14, 13, 590, 4.185677766799927,0,,2 5 7 6 1 4 3 0
astarH1, 38, 15, 15, 1871, 38.67571568489075,0,,7 5 4 1 3 0 2 6
astarH1, 39, 16, 14, 2097, 45.670037031173706,0,,6 5 0 2 7 1 4 3
astarH1, 40, 0, 0, 2471, 60.00040102005005,1,,4 7 2 5 3 1 6 0
astarH1, 41, 12, 11, 150, 0.3174870014190674,0,,0 1 4 2 6 3 7 5
astarH1, 42, 13, 11, 516, 3.339362621307373,0,,7 6 2 3 0 1 4 5
astarH1, 43, 13, 13, 542, 3.273393392562866,0,,0 1 7 4 3 5 2 6
astarH1, 44, 15, 12, 1015, 11.048049688339233,0,,2 3 6 0 5 7 1 4
astarH1, 45, 0, 0, 2364, 60.00240349769592,1,,6 0 5 2 7 4 3 1
astarH1, 46, 14, 12, 428, 2.271268606185913,0,,4 6 2 5 7 1 0 3
astarH1, 47, 0, 0, 2419, 60.011388301849365,1,,7 6 4 2 0 5 1 3
astarH1, 48, 15, 10, 987, 10.711442232131958,0,,4 0 5 1 6 2 7 3
astarH1, 49, 13, 11, 266, 0.9087131023406982,0,,2 7 5 6 1 3 4 0
Total-astarH1, , 591,508, 42679, 686.2626128196716,5
Average-astarH1, , 13.133333333333333,11.28888888888889, 853.58, 15.250280284881592,0.1

Algorithm, Puzzle, Cost, Length Of Solution, Length Of Search, Execution, No Solution, Optimality
